1,2015/2016,Monaco,20/02/2016,Troyes,Domicile,Stade Louis II,Ligue 1,3 - 1,Pied gauche,Hélder Costa,M. Dreyer,90'+3,https://www.youtube.com/watch?v=psVsiS150CA,02:54
2,2016/2017,Monaco,21/10/2016,Montpellier,Domicile,Stade Louis II,Ligue 1,6 - 2,Tête,Bernardo Silva,G. Jourdren,49',https://www.youtube.com/watch?v=TIa1oSztKMg,14:08
3,2016/2017,Monaco,05/11/2016,Nancy,Domicile,Stade Louis II,Ligue 1,6 - 0,Pied gauche,,G. Ndy Assembe,65',https://www.youtube.com/watch?v=62FwQRAfOpE,06:14
4,2016/2017,Monaco,03/12/2016,Bastia,Domicile,Stade Louis II,Ligue 1,5 - 0,Pied droit,,J. Leca,10',https://www.youtube.com/watch?v=4Sbk_DM_sHY,00:50
5,2016/2017,Monaco,14/12/2016,Rennes,Domicile,Stade Louis II,Coupe de la Ligue BKT,7 - 0,Pied droit,Gabriel Boschilia,P. Nardi,11',https://www.youtube.com/watch?v=Jobnc8h6xWI,00:17
6,2016/2017,Monaco,14/12/2016,Rennes,Domicile,Stade Louis II,Coupe de la Ligue BKT,7 - 0,Pied droit,,P. Nardi,21',https://www.youtube.com/watch?v=Jobnc8h6xWI,00:45
7,2016/2017,Monaco,14/12/2016,Rennes,Domicile,Stade Louis II,Coupe de la Ligue BKT,7 - 0,Pied gauche,João Moutinho,P. Nardi,62',https://www.youtube.com/watch?v=Jobnc8h6xWI,01:58
8,2016/2017,Monaco,01/02/2017,Chambly,Exterieur,Stade Pierre Brisson,Coupe de France,4 - 5,Tête,,X. Pinoteau,48',https://www.youtube.com/watch?v=60RJVnURRLk,00:52
9,2016/2017,Monaco,07/02/2017,Montpellier,Exterieur,Stade de la Mosson,Ligue 1,1 - 2,Pied droit,Benjamin Mendy,G. Jourdren,20',https://www.youtube.com/watch?v=6Zdwi_LnJK8,01:11
10,2016/2017,Monaco,11/02/2017,Metz,Domicile,Stade Louis II,Ligue 1,5 - 0,Pied gauche,Radamel Falcao,T. Didillon,7',https://www.youtube.com/watch?v=dAM-Q9Jvdec,00:38
11,2016/2017,Monaco,11/02/2017,Metz,Domicile,Stade Louis II,Ligue 1,5 - 0,Pied droit,Fabinho,T. Didillon,20',https://www.youtube.com/watch?v=dAM-Q9Jvdec,01:22
12,2016/2017,Monaco,11/02/2017,Metz,Domicile,Stade Louis II,Ligue 1,5 - 0,Pied droit,Gabriel Boschilia,T. Didillon,50',https://www.youtube.com/watch?v=dAM-Q9Jvdec,02:07
13,2016/2017,Monaco,21/02/2017,Man City,Exterieur,Etihad Stadium,Ligue des Champions,5 - 3,Pied droit,Fabinho,W. Caballero,40',https://www.youtube.com/watch?v=GBl31yBlS-k,06:07
14,2016/2017,Monaco,01/03/2017,Marseille,Exterieur,Stade Vélodrome,Coupe de France,3 - 4,Pied droit,Benjamin Mendy,Y. Pelé,66',https://www.youtube.com/watch?v=bpSekf9vxZs,04:44
15,2016/2017,Monaco,05/03/2017,Nantes,Domicile,Stade Louis II,Ligue 1,4 - 0,Pied droit,,M. Dupé,4',https://www.youtube.com/watch?v=mffcFoNoxqc,00:57
16,2016/2017,Monaco,05/03/2017,Nantes,Domicile,Stade Louis II,Ligue 1,4 - 0,Tête,Bernardo Silva,M. Dupé,45'+1,https://www.youtube.com/watch?v=mffcFoNoxqc,01:58
17,2016/2017,Monaco,11/03/2017,Bordeaux,Domicile,Stade Louis II,Ligue 1,2 - 1,Pied droit,Radamel Falcao,C. Carrasso,68',https://www.youtube.com/watch?v=MlJE46gWNwE,01:17
18,2016/2017,Monaco,15/03/2017,Man City,Domicile,Stade Louis II,Ligue des Champions,3 - 1,Pied droit,Bernardo Silva,W. Caballero,8',https://www.youtube.com/watch?v=8-uN2Lq4K7A,04:01
19,2016/2017,Monaco,19/03/2017,Caen,Exterieur,Stade Michel d'Ornano,Ligue 1,0 - 3,Pied gauche,Valère Germain,R. Vercoutre,13',https://www.youtube.com/watch?v=M9vf_PEZTgI,00:30
20,2016/2017,Monaco,19/03/2017,Caen,Exterieur,Stade Michel d'Ornano,Ligue 1,0 - 3,Tête,João Moutinho,R. Vercoutre,81',https://www.youtube.com/watch?v=M9vf_PEZTgI,04:34
21,2016/2017,Monaco,12/04/2017,Dortmund,Exterieur,Signal Iduna Park,Ligue des Champions,2 - 3,Bite (Cuisse gauche),Thomas Lemar,R. Bürki,19',https://www.youtube.com/watch?v=rshsIHkYVIY,00:09
22,2016/2017,Monaco,12/04/2017,Dortmund,Exterieur,Signal Iduna Park,Ligue des Champions,2 - 3,Pied droit,,R. Bürki,79',https://www.youtube.com/watch?v=rshsIHkYVIY,00:24
23,2016/2017,Monaco,19/04/2017,Dortmund,Domicile,Stade Louis II,Ligue des Champions,3 - 1,Cuisse droite,Benjamin Mendy,R. Bürki,3',https://www.youtube.com/watch?v=5IEJYewjqnQ,00:00
24,2016/2017,Monaco,23/04/2017,Lyon,Exterieur,Groupama Stadium,Ligue 1,1 - 2,Pied droit,Bernardo Silva,A. Lopes ,44',https://www.youtube.com/watch?v=RFCLRVRB-FM,01:11
25,2016/2017,Monaco,29/04/2017,Toulouse,Domicile,Stade Louis II,Ligue 1,3 - 1,Pied droit,Bernardo Silva,A. Lafont,64',https://www.youtube.com/watch?v=EaYnxSyPYtQ,02:21
26,2016/2017,Monaco,09/05/2017,Juventus,Exterieur,Allianz Stadium,Ligue des Champions,2 - 1,Pied droit,João Moutinho,G. Buffon,69',https://www.youtube.com/watch?v=5IEJYewjqnQ,00:30
27,2016/2017,Monaco,17/05/2017,ASSE,Domicile,Stade Louis II,Ligue 1,2 - 0,Pied gauche,Radamel Falcao,S. Ruffier,19',https://www.youtube.com/watch?v=8XxOL2skhvw,00:45
28,CDM 2018,Equipe de France,31/08/2017,Pays-Bas,Domicile,Stade de France,Eliminatoires CM - Europe,4 - 0,Pied droit,??,J. Cillessen,90'+1,https://www.youtube.com/watch?v=UVjHeXV9Pnc,03:54
29,2017/2018,Paris Saint-Germain,08/09/2017,Metz,Exterieur,Stade Saint-Symphorien,Ligue 1 Conforama,1 - 5,Pied droit,,E. Kawashima,59',https://www.youtube.com/watch?v=cyyRiJGKYTI,02:19
30,2017/2018,Paris Saint-Germain,12/09/2017,Celtic,Exterieur,Celtic Park,Ligue des Champions,0 - 5,Pied droit,Neymar Jr,C. Gordon,34',https://www.youtube.com/watch?v=kcubE_tTt6U,04:26
31,2017/2018,Paris Saint-Germain,30/09/2017,Bordeaux,Domicile,Parc des Princes,Ligue 1 Conforama,6 - 2,Pied droit,Julian Draxler,B. Costil,58',https://www.youtube.com/watch?v=YdISgHQJThQ,02:45
32,2017/2018,Paris Saint-Germain,18/10/2017,Anderlecht,Exterieur,Lotto Park,Ligue des Champions,0 - 4,Pied droit,Marco Verratti,M. Sels,3',https://www.youtube.com/watch?v=XSjHCDVZxgg,00:14
33,2017/2018,Paris Saint-Germain,04/11/2017,Angers,Exterieur,Stade Raymond-Kopa,Ligue 1 Conforama,0 - 5,Pied droit,Dani Alves,M. Michel,5',https://www.youtube.com/watch?v=mIzJ-YnH8so,00:46
34,2017/2018,Paris Saint-Germain,04/11/2017,Angers,Exterieur,Stade Raymond-Kopa,Ligue 1 Conforama,0 - 5,Pied gauche,Lucas Moura,M. Michel,84',https://www.youtube.com/watch?v=mIzJ-YnH8so,03:00
35,2017/2018,Paris Saint-Germain,22/11/2017,Celtic,Domicile,Parc des Princes,Ligue des Champions,7 - 1,Pied droit,Marquinhos,C. Gordon,35',https://www.youtube.com/watch?v=KHQQG6hRN8Q,07:28
